+--------+-----------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                                    |
+--------+-----------------------------------------------------------------------------------------------------+
| Total  | 0.0 +- 0.0 (0%)                   | chi2=1.0|mwi=1.0|n=0.0M(1e+02%)|n0=0.0M(0.0e+00%)               |
| Sum    | 0.0 +- 0.0 (0%)                                                                                     |
| GL182  | +1.73333e-07 +- 2.24e-09 (1.3%)   | chi2=1.66|mwi=5.01|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          |
| GL280  | -9.23852e-07 +- 1.95e-09 (0.21%)  | chi2=1.04|mwi=0.652|n=12.2M(0.044%)|n0=0.0M(2.5e-05%)|p=0.04%   |
| GL158  | -1.33137e-09 +- 1.88e-09 (1.4e+02%) | chi2=0.994|mwi=0.355|n=12.2M(0.044%)|n0=0.0M(0.0022%)|p=0.04% |
| GL12   | +2.63445e-10 +- 1.44e-09 (5.5e+02%) | chi2=0.946|mwi=0.132|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%      |
| GL178  | -1.18039e-07 +- 1.19e-09 (1%)     | chi2=3.67|mwi=15.1|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%          | x
| GL364  | -1.92184e-09 +- 9.49e-10 (49%)    | chi2=1.07|mwi=0.145|n=12.2M(0.044%)|n0=0.0M(0.00021%)|p=0.04%   |
| GL13   | -3.39189e-10 +- 9.08e-10 (2.7e+02%) | chi2=1.11|mwi=0.533|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%       |
| GL300  | +7.37002e-10 +- 8.21e-10 (1.1e+02%) | chi2=0.93|mwi=0.215|n=12.2M(0.044%)|n0=0.0M(2.5e-05%)|p=0.04% |
| GL284  | -2.49246e-10 +- 3.74e-10 (1.5e+02%) | chi2=1.08|mwi=0.761|n=12.2M(0.044%)|n0=0.0M(8.2e-06%)|p=0.04% |
| GL118  | +5.65365e-10 +- 3.38e-10 (60%)    | chi2=1|mwi=0.437|n=12.2M(0.044%)|n0=0.0M(0%)|p=0.04%            |
+--------+-----------------------------------------------------------------------------------------------------+
