+--------+-----------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                              |
+--------+-----------------------------------------------------------------------------------------------+
| GL136  | +1.50853e-07 +- 1.31e-07 (87%)    | chi2=0|mwi=0.77|n=7.5M(0.75%)|n0=0.0M(0.0011%)|p=0.75%    |
| GL296  | -5.41713e-08 +- 1.16e-07 (2.1e+02%) | chi2=0|mwi=0.545|n=7.5M(0.75%)|n0=0.0M(0.0015%)|p=0.75% |
| GL220  | -3.20997e-06 +- 1.02e-07 (3.2%)   | chi2=0|mwi=0.549|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL4    | +1.78292e-06 +- 9.47e-08 (5.3%)   | chi2=0|mwi=0.381|n=7.5M(0.75%)|n0=0.0M(0.0012%)|p=0.75%   |
| GL440  | -1.13589e-06 +- 8.67e-08 (7.6%)   | chi2=0|mwi=0.461|n=7.5M(0.75%)|n0=0.0M(0.00015%)|p=0.75%  |
| GL454  | +1.95562e-06 +- 8.11e-08 (4.1%)   | chi2=0|mwi=0.373|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL12   | -6.24181e-08 +- 7.45e-08 (1.2e+02%) | chi2=0|mwi=0.984|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%   |
| GL182  | +3.18003e-07 +- 6.97e-08 (22%)    | chi2=0|mwi=0.887|n=7.5M(0.75%)|n0=0.1M(1%)|p=0.75%        |
| GL292  | -2.78329e-08 +- 6.7e-08  (2.4e+02%) | chi2=0|mwi=0.778|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%   |
| GL450  | -1.21974e-06 +- 6.55e-08 (5.4%)   | chi2=0|mwi=0.875|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%     |
| GL376  | -7.39278e-07 +- 6.19e-08 (8.4%)   | chi2=0|mwi=0.508|n=7.5M(0.75%)|n0=0.0M(0.34%)|p=0.75%     |
| GL430  | +1.89391e-07 +- 5.35e-08 (28%)    | chi2=0|mwi=0.457|n=7.5M(0.75%)|n0=0.0M(0.33%)|p=0.75%     |
| GL124  | -1.10801e-06 +- 4.77e-08 (4.3%)   | chi2=0|mwi=0.365|n=7.5M(0.75%)|n0=0.0M(0%)|p=0.75%        |
| GL150  | +1.06984e-08 +- 4.11e-08 (3.8e+02%) | chi2=0|mwi=0.434|n=7.5M(0.75%)|n0=0.0M(0.41%)|p=0.75%   |
| GL280  | -8.65775e-07 +- 3.27e-08 (3.8%)   | chi2=0|mwi=0.362|n=7.5M(0.75%)|n0=0.0M(0.0017%)|p=0.75%   |
| GL158  | -3.89712e-09 +- 2.38e-08 (6.1e+02%) | chi2=0|mwi=0.528|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%   |
| GL114  | +7.68647e-07 +- 2.27e-08 (3%)     | chi2=0|mwi=0.453|n=7.5M(0.75%)|n0=0.0M(1.3e-05%)|p=0.75%  |
| GL178  | -1.64674e-07 +- 1.88e-08 (11%)    | chi2=0|mwi=0.702|n=7.5M(0.75%)|n0=0.1M(1.1%)|p=0.75%      |
| GL426  | -2.12465e-08 +- 1.77e-08 (83%)    | chi2=0|mwi=0.578|n=7.5M(0.75%)|n0=0.1M(0.68%)|p=0.75%     |
| GL364  | +5.23177e-09 +- 1.06e-08 (2e+02%) | chi2=0|mwi=0.837|n=7.5M(0.75%)|n0=0.0M(0.41%)|p=0.75%     |
| GL13   | -9.03943e-09 +- 8.99e-09 (99%)    | chi2=0|mwi=0.477|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%     |
| GL300  | -1.23796e-09 +- 8.91e-09 (7.2e+02%) | chi2=0|mwi=0.707|n=7.5M(0.75%)|n0=0.0M(0.41%)|p=0.75%   |
| GL284  | -1.01712e-08 +- 6.12e-09 (60%)    | chi2=0|mwi=0.698|n=7.5M(0.75%)|n0=0.0M(0.41%)|p=0.75%     |
| GL118  | +2.5296e-09  +- 2.29e-09 (90%)    | chi2=0|mwi=0.415|n=7.5M(0.75%)|n0=0.0M(0.42%)|p=0.75%     |
+--------+-----------------------------------------------------------------------------------------------+
