madgraph.havana 2025-05-03,06:25:22.223706 Now running iteration #4
| Status of 500 workers: 0 pending, 0 available, 500 running. A total of 0 jobs are pending.
| Jobs completed: overall = 6793 (avg 64.3 min/job), and for this iteration = 793/1318/2000 on 500 cpus.
| Total n_pts: 339.6M ( 85.5 ms / pt on one core,  5.8K pts / s overall ). n_pts for this iteration #4: 39.65M/100.00M (39.6%).
| Wall time: 16.142 h, IO: 0.01%, processing: 0.00%, jobs: 7276.793 CPU-hours, efficiency: 90.16%

Run description: nnlo_all_singlets_1_sqrts_346_05 (run id: 1)
Result after 339.6M evaluations and 3 iterations: -1.8484 +/- 0.02265   (1.2%), chi2=1.88, max_wgt_infl=92.8, zero_evals=7.8%
  -> Re[I0(mu_r_x_1)] = -1.8484 +/- 0.022653 (1.2%), chi2=5.63, max_wgt_infl=92.8, zero_evals=7.8%
     Im[I0(mu_r_x_1)] = -2.1351e-40 +/- 2.1351e-40 (1e+02%), chi2=2, max_wgt_infl=1.95e+31, zero_evals=100%
+--------+------------------------------------------------------------------------------------------------+
| Result | Re[I0(mu_r_x_1)]                                                                               |
+--------+------------------------------------------------------------------------------------------------+
| Total  | -1.8484      +- 0.0227   (1.2%)   | chi2=1.88|mwi=92.8|n=339.6M(1e+02%)|n0=26.5M(7.8%)         |
| Sum    | -1.86996     +- 0.0212   (1.1%)                                                                |
| GL440  | +5.84108e-05 +- 1.66e-06 (2.8%)   | chi2=0.489|mwi=4.66|n=0.9M(0.27%)|n0=0.0M(0.27%)|p=0.07%   |
| GL362  | -0.000203656 +- 1.51e-06 (0.74%)  | chi2=2.59|mwi=0.514|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%     |
| GL282  | -3.03336e-05 +- 1.51e-06 (5%)     | chi2=0.499|mwi=2.33|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
| GL416  | -3.04117e-05 +- 1.49e-06 (4.9%)   | chi2=0.882|mwi=2.74|n=0.9M(0.27%)|n0=0.0M(0.27%)|p=0.07%   |
| GL220  | +9.85469e-05 +- 1.49e-06 (1.5%)   | chi2=0.118|mwi=0.6|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%      |
| GL124  | -0.000160314 +- 1.42e-06 (0.89%)  | chi2=1.48|mwi=8.97|n=0.9M(0.27%)|n0=0.0M(0.25%)|p=0.07%    |
| GL454  | +6.76862e-06 +- 1.15e-06 (17%)    | chi2=0.921|mwi=2.05|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
| GL300  | -3.89599e-05 +- 1.14e-06 (2.9%)   | chi2=1.14|mwi=2.33|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%      |
| GL28   | -1.04934e-05 +- 1.05e-06 (10%)    | chi2=1.04|mwi=0.487|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
| GL4    | -3.11922e-06 +- 1.05e-06 (34%)    | chi2=0.377|mwi=11.6|n=0.9M(0.27%)|n0=0.0M(1.8%)|p=0.07%    |
| GL9    | -4.49231e-05 +- 9.52e-07 (2.1%)   | chi2=0.305|mwi=0.675|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%    |
| GL164  | +0.000114626 +- 8.99e-07 (0.78%)  | chi2=0.235|mwi=20.6|n=0.9M(0.27%)|n0=0.0M(0.24%)|p=0.07%   |
| GL364  | +0.000119446 +- 8.75e-07 (0.73%)  | chi2=0.116|mwi=0.648|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%    |
| GL284  | +2.34476e-05 +- 8.71e-07 (3.7%)   | chi2=0.371|mwi=2.53|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
| GL16   | -3.44279e-05 +- 8.57e-07 (2.5%)   | chi2=0.356|mwi=1.23|n=0.9M(0.27%)|n0=0.0M(1.7%)|p=0.07%    |
| GL30   | -2.99412e-06 +- 7.75e-07 (26%)    | chi2=0.435|mwi=0.357|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%    |
| GL122  | -3.13559e-05 +- 7.53e-07 (2.4%)   | chi2=0.706|mwi=0.425|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%   |
| GL198  | +4.19178e-05 +- 6.45e-07 (1.5%)   | chi2=1.07|mwi=0.216|n=0.9M(0.27%)|n0=0.0M(2%)|p=0.07%      |
| GL13   | +3.28348e-05 +- 6.36e-07 (1.9%)   | chi2=1.09|mwi=0.402|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%     |
| GL136  | +2.36028e-05 +- 6.12e-07 (2.6%)   | chi2=1.21|mwi=0.409|n=0.9M(0.27%)|n0=0.0M(1.9%)|p=0.07%    |
| GL116  | -7.31326e-05 +- 5.77e-07 (0.79%)  | chi2=1.47|mwi=1.45|n=0.9M(0.27%)|n0=0.1M(13%)|p=0.07%      |
| GL118  | +4.05308e-05 +- 5.21e-07 (1.3%)   | chi2=0.183|mwi=4.99|n=0.9M(0.27%)|n0=0.1M(12%)|p=0.07%     |
